episode,time,duration,steps,reward,steps_total,reward_total,tau,epsilon,loss,batch_size,goal,goals_total
1,46.6,2.0,10,2.5,10,2.5,1.0000,0.99988,0.0000,64,1,1
2,57.4,9.1,180,-11.000000000000028,190,-8.500000000000028,1.0000,0.99742,0.0961,64,0,1
3,71.5,12.4,180,-6.999999999999983,370,-15.50000000000001,1.0000,0.99497,0.1169,64,0,1
4,85.3,12.2,180,-12.999999999999996,550,-28.500000000000007,1.0000,0.99251,0.0575,64,0,1
5,99.4,12.3,180,-2.9999999999999964,730,-31.500000000000004,1.0000,0.99006,0.0539,64,0,1
6,113.3,12.2,180,-11.000000000000023,910,-42.50000000000003,1.0000,0.98760,0.0439,64,0,1
7,127.4,12.4,180,-6.999999999999984,1090,-49.500000000000014,1.0000,0.98515,0.0354,64,0,1
8,133.4,4.3,37,-0.8499999999999943,1127,-50.35000000000001,1.0000,0.98465,0.0335,64,1,2
9,147.4,12.3,180,-4.999999999999993,1307,-55.35,1.0000,0.98219,0.0321,64,0,2
10,157.8,8.7,101,-0.04999999999999005,1408,-55.39999999999999,1.0000,0.98081,0.0282,64,1,3
11,163.2,3.7,31,1.4499999999999993,1439,-53.94999999999999,1.0000,0.98039,0.0340,64,1,4
12,176.8,11.9,180,-15.000000000000071,1619,-68.95000000000006,1.0000,0.97794,0.0287,64,0,4
13,190.9,12.5,180,-8.99999999999999,1799,-77.95000000000005,1.0000,0.97548,0.0262,64,0,4
14,204.8,12.2,180,-11.000000000000028,1979,-88.95000000000007,1.0000,0.97303,0.0264,64,0,4
15,211.2,4.6,43,2.8500000000000014,2022,-86.10000000000008,1.0000,0.97244,0.0242,64,1,5
16,263.3,12.8,139,-3.949999999999984,2161,-90.05000000000007,1.0000,0.97055,0.0245,64,1,6
17,275.6,10.6,131,-3.5499999999999936,2292,-93.60000000000007,1.0000,0.96876,0.0224,64,1,7
18,289.5,12.3,180,-6.99999999999999,2472,-100.60000000000005,1.0000,0.96630,0.0232,64,0,7
19,293.9,2.7,15,2.25,2487,-98.35000000000005,1.0000,0.96610,0.0221,64,1,8
20,307.0,11.3,146,-2.299999999999982,2633,-100.65000000000003,1.0000,0.96411,0.0232,64,1,9
21,321.2,12.5,180,-2.99999999999999,2813,-103.65000000000002,1.0000,0.96165,0.0224,64,0,9
22,335.5,12.5,180,-8.999999999999993,2993,-112.65,1.0000,0.95920,0.0206,64,0,9
23,349.5,12.4,180,-13.000000000000092,3173,-125.65000000000009,1.0000,0.95674,0.0209,64,0,9
24,363.7,12.5,180,-9.000000000000028,3353,-134.65000000000012,1.0000,0.95429,0.0194,64,0,9
25,377.7,12.3,180,-6.999999999999976,3533,-141.6500000000001,1.0000,0.95184,0.0199,64,0,9
26,382.5,3.2,23,-2.149999999999996,3556,-143.8000000000001,1.0000,0.95152,0.0215,64,1,10
27,393.2,8.9,107,-2.34999999999999,3663,-146.1500000000001,1.0000,0.95006,0.0202,64,1,11
28,397.2,2.3,10,2.5,3673,-143.6500000000001,1.0000,0.94993,0.0200,64,1,12
29,411.1,12.1,180,-6.999999999999982,3853,-150.65000000000006,1.0000,0.94747,0.0194,64,0,12
30,415.6,2.8,18,2.1,3871,-148.55000000000007,1.0000,0.94723,0.0222,64,1,13
31,429.5,12.1,180,-4.999999999999989,4051,-153.55000000000007,1.0000,0.94477,0.0193,64,0,13
32,494.0,14.0,180,-6.999999999999981,4231,-160.55000000000004,1.0000,0.94232,0.0189,64,0,13
33,507.5,11.8,180,-11.000000000000018,4411,-171.55000000000007,1.0000,0.93986,0.0194,64,0,13
34,520.6,11.4,143,1.8500000000000008,4554,-169.70000000000007,1.0000,0.93791,0.0194,64,1,14
35,534.8,12.4,180,-2.9999999999999893,4734,-172.70000000000007,1.0000,0.93546,0.0176,64,0,14
36,542.2,5.7,89,0.5500000000000043,4823,-172.15000000000006,1.0000,0.93424,0.0185,64,1,15
37,554.5,10.6,104,-0.1999999999999975,4927,-172.35000000000005,1.0000,0.93283,0.0181,64,1,16
38,565.6,9.4,116,-0.7999999999999945,5043,-173.15000000000003,1.0000,0.93124,0.0185,64,1,17
39,578.8,11.5,148,-4.399999999999997,5191,-177.55000000000004,1.0000,0.92923,0.0188,64,1,18
