episode,time,duration,steps,reward,steps_total,reward_total,tau,epsilon,loss,batch_size
1,55.4,8.4,180,-6.18000000000005,180,-6.18000000000005,100.0000,0.99756,0.0824,64
2,67.5,10.5,132,-5.132000000000004,312,-11.312000000000054,100.0000,0.99576,0.1366,64
3,71.3,2.1,7,0.993,319,-10.319000000000054,100.0000,0.99566,0.1555,64
4,84.7,11.8,180,-12.180000000000028,499,-22.49900000000008,100.0000,0.99321,0.0765,64
5,98.8,12.4,180,-4.180000000000041,679,-26.679000000000123,100.0000,0.99075,0.0598,64
6,112.3,11.9,180,-6.180000000000015,859,-32.85900000000014,100.0000,0.98830,0.0442,64
7,116.4,2.4,12,0.988,871,-31.871000000000137,100.0000,0.98814,0.0242,64
8,126.9,8.9,111,-9.110999999999965,982,-40.9820000000001,100.0000,0.98662,0.0441,64
9,132.8,4.3,42,-3.0420000000000056,1024,-44.02400000000011,100.0000,0.98605,0.0436,64
10,146.6,12.1,180,-6.1800000000000495,1204,-50.20400000000016,100.0000,0.98360,0.0393,64
11,160.2,12.0,180,-8.179999999999959,1384,-58.384000000000114,100.0000,0.98114,0.0324,64
12,164.0,2.3,10,-3.009999999999999,1394,-61.39400000000011,100.0000,0.98100,0.0427,64
13,175.8,10.1,123,-5.123000000000039,1517,-66.51700000000015,100.0000,0.97933,0.0327,64
14,189.4,11.9,180,-10.180000000000001,1697,-76.69700000000016,100.0000,0.97687,0.0290,64
15,203.0,12.0,180,-10.179999999999952,1877,-86.87700000000011,100.0000,0.97442,0.0295,64
16,211.8,7.2,83,-1.0829999999999913,1960,-87.9600000000001,100.0000,0.97329,0.0270,64
17,225.8,12.3,180,-6.180000000000054,2140,-94.14000000000014,100.0000,0.97083,0.0253,64
18,275.3,11.6,123,-3.1230000000000326,2263,-97.26300000000018,100.0000,0.96915,0.0250,64
19,289.6,12.6,180,-0.18000000000000013,2443,-97.44300000000018,100.0000,0.96670,0.0216,64
20,296.2,5.0,51,-3.0510000000000024,2494,-100.49400000000018,100.0000,0.96600,0.0232,64
21,310.0,12.2,180,-8.17999999999997,2674,-108.67400000000015,100.0000,0.96355,0.0238,64
22,323.9,12.2,180,-6.180000000000006,2854,-114.85400000000016,100.0000,0.96109,0.0220,64
23,338.6,13.1,169,-11.168999999999972,3023,-126.02300000000012,100.0000,0.95879,0.0211,64
24,352.7,12.5,180,-2.1799999999999917,3203,-128.20300000000012,100.0000,0.95634,0.0201,64
