episode,time,duration,steps,reward,steps_total,reward_total,tau,epsilon,loss,batch_size
1,50.6,4.8,86,0.9139999999999999,86,0.9139999999999999,100.0000,0.99884,0.0000,64
2,64.1,11.8,180,-2.1799999999999957,266,-1.2659999999999958,100.0000,0.99639,0.1623,64
3,78.6,12.7,180,1.8200000000000054,446,0.5540000000000096,100.0000,0.99393,0.0732,64
4,82.5,2.2,7,0.993,453,1.5470000000000095,100.0000,0.99384,0.0710,64
5,92.9,8.6,100,4.8999999999999835,553,6.446999999999993,100.0000,0.99247,0.0560,64
6,98.9,4.3,37,0.963,590,7.409999999999993,100.0000,0.99197,0.0584,64
7,112.7,12.0,180,-6.180000000000043,770,1.2299999999999498,100.0000,0.98951,0.0498,64
8,126.9,12.5,180,-2.1799999999999935,950,-0.9500000000000437,100.0000,0.98706,0.0387,64
9,128.8,0.1,2,0.998,952,0.0479999999999563,100.0000,0.98703,0.0124,64
10,144.8,14.3,180,-2.17999999999998,1132,-2.1320000000000237,100.0000,0.98458,0.0352,64
11,159.2,12.7,180,-4.18000000000005,1312,-6.312000000000074,100.0000,0.98212,0.0285,64
12,173.2,12.3,180,-0.17999999999999095,1492,-6.492000000000065,100.0000,0.97967,0.0297,64
13,187.8,12.8,180,-2.1799999999999806,1672,-8.672000000000045,100.0000,0.97721,0.0263,64
14,201.8,12.3,180,3.8200000000000194,1852,-4.852000000000025,100.0000,0.97476,0.0245,64
15,217.3,13.8,172,-3.1719999999999993,2024,-8.024000000000024,100.0000,0.97241,0.0248,64
16,270.6,12.1,180,-4.180000000000002,2204,-12.204000000000025,100.0000,0.96996,0.0253,64
17,285.0,12.7,180,-0.17999999999999383,2384,-12.38400000000002,100.0000,0.96750,0.0216,64
18,295.1,8.4,129,6.870999999999966,2513,-5.513000000000054,100.0000,0.96574,0.0248,64
19,304.5,7.6,63,-1.0629999999999984,2576,-6.576000000000052,100.0000,0.96489,0.0212,64
20,319.0,12.8,180,-2.179999999999999,2756,-8.75600000000005,100.0000,0.96243,0.0218,64
21,333.1,12.4,180,-2.1799999999999815,2936,-10.936000000000032,100.0000,0.95998,0.0210,64
22,337.8,2.9,19,0.981,2955,-9.955000000000032,100.0000,0.95972,0.0226,64
23,351.9,12.3,180,-0.17999999999998972,3135,-10.135000000000021,100.0000,0.95726,0.0185,64
24,356.7,3.1,45,-1.0450000000000004,3180,-11.180000000000021,100.0000,0.95665,0.0199,64
25,371.8,13.4,140,-3.1400000000000143,3320,-14.320000000000036,100.0000,0.95474,0.0203,64
26,385.7,12.2,180,5.8199999999999985,3500,-8.500000000000037,100.0000,0.95229,0.0181,64
27,390.2,2.8,17,0.983,3517,-7.517000000000038,100.0000,0.95205,0.0282,64
28,404.4,12.5,180,-2.179999999999985,3697,-9.697000000000022,100.0000,0.94960,0.0180,64
29,418.4,12.3,180,-0.17999999999999627,3877,-9.877000000000018,100.0000,0.94714,0.0181,64
30,433.6,13.4,174,6.825999999999987,4051,-3.0510000000000312,100.0000,0.94477,0.0175,64
31,486.4,10.6,106,-3.1059999999999977,4157,-6.1570000000000285,100.0000,0.94333,0.0178,64
32,500.9,12.8,180,-4.179999999999988,4337,-10.337000000000018,100.0000,0.94087,0.0178,64
33,515.3,12.7,180,1.8200000000000043,4517,-8.517000000000014,100.0000,0.93842,0.0173,64
34,530.5,13.5,174,2.826000000000004,4691,-5.69100000000001,100.0000,0.93604,0.0183,64
35,544.7,12.5,180,-2.180000000000028,4871,-7.871000000000038,100.0000,0.93359,0.0182,64
36,558.8,12.4,180,-0.17999999999999916,5051,-8.051000000000037,100.0000,0.93114,0.0188,64
37,572.9,12.4,180,3.820000000000006,5231,-4.231000000000032,100.0000,0.92868,0.0168,64
38,584.3,9.7,116,0.8839999999999911,5347,-3.347000000000041,100.0000,0.92710,0.0157,64
39,598.4,12.3,180,-0.17999999999998972,5527,-3.5270000000000303,100.0000,0.92464,0.0172,64
40,614.1,14.1,174,2.826000000000001,5701,-0.7010000000000294,100.0000,0.92227,0.0169,64
41,623.7,7.9,90,-3.0900000000000003,5791,-3.7910000000000297,100.0000,0.92104,0.0154,64
42,637.5,12.0,152,6.847999999999991,5943,3.0569999999999613,100.0000,0.91897,0.0174,64
43,642.4,3.2,23,-1.0229999999999975,5966,2.033999999999964,100.0000,0.91866,0.0167,64
44,651.4,7.2,77,2.923000000000008,6043,4.956999999999972,100.0000,0.91761,0.0188,64
45,708.6,12.5,180,-2.179999999999983,6223,2.7769999999999895,100.0000,0.91515,0.0188,64
46,722.4,12.1,180,-0.17999999999999627,6403,2.5969999999999933,100.0000,0.91270,0.0163,64
47,736.5,12.3,180,1.8200000000000192,6583,4.417000000000012,100.0000,0.91024,0.0165,64
48,750.9,12.7,180,5.820000000000005,6763,10.237000000000016,100.0000,0.90779,0.0156,64
49,764.8,12.2,180,-0.17999999999999916,6943,10.057000000000016,100.0000,0.90533,0.0146,64
50,775.1,8.5,97,2.903000000000001,7040,12.960000000000017,100.0000,0.90401,0.0144,64
51,789.4,12.6,180,5.81999999999998,7220,18.779999999999998,100.0000,0.90156,0.0152,64
52,803.4,12.3,180,-0.1799999999999935,7400,18.600000000000005,100.0000,0.89910,0.0158,64
53,817.5,12.4,180,-2.179999999999988,7580,16.420000000000016,100.0000,0.89665,0.0150,64
54,831.5,12.2,180,-8.17999999999998,7760,8.240000000000036,100.0000,0.89419,0.0139,64
55,845.4,12.2,180,5.820000000000013,7940,14.060000000000048,100.0000,0.89174,0.0151,64
56,859.9,12.8,180,-0.18000000000000013,8120,13.880000000000049,100.0000,0.88928,0.0144,64
